N,Pergunta,Situação
#,Qual é o país com o maior número de vinhos no dataset?,
#,Qual é a média de pontos dos vinhos por país?,
#,Existe uma correlação entre o preço e os pontos dos vinhos?,
#,Quais regiões têm os vinhos com as maiores classificações?,
#,Qual é a variedade de vinho mais comum no dataset?,
#,Como o preço dos vinhos varia entre os diferentes países?,
,Existe alguma tendência nos pontos dos vinhos ao longo dos anos?,
#,Quais são os 5 vinhos com a maior pontuação?,
#,Quais são os 5 vinhos com o menor preço?,
#,Como a pontuação média dos vinhos varia por região?,
,Existe uma diferença significativa nos preços dos vinhos entre as diferentes variedades?,
,Qual é a distribuição dos preços dos vinhos?,
,Como a média de pontos varia entre os diferentes tipos de vinho?,
,Quais vinhos têm a maior diferença entre a pontuação e o preço?,
,Existe uma relação entre o nome do degustador e a pontuação dos vinhos?,
,Qual é a média de pontos dos vinhos por variedade?,
,Como a pontuação dos vinhos muda ao longo do tempo?,
,Quais são os 10 vinhos mais caros e suas respectivas pontuações?,
,Qual é a distribuição dos pontos dos vinhos?,
,Existem outliers significativos nos preços dos vinhos?,
,Como o preço médio dos vinhos varia entre as diferentes regiões?,
,Quais vinhos são considerados os melhores em termos de custo-benefício (preço/pontuação)?,
,Existe uma diferença nas pontuações dos vinhos tintos versus brancos?,
,Como a pontuação dos vinhos varia com o tempo de envelhecimento?,
,Quais são as características comuns dos vinhos com pontuação acima de 90?,
,Existe uma tendência de aumento ou diminuição nos preços dos vinhos ao longo dos anos?,
,Como a pontuação dos vinhos varia entre diferentes degustadores?,
,Quais são os 5 países com os vinhos mais bem avaliados?,
,Existe uma relação entre a descrição e a pontuação dos vinhos?,
,Quais são os vinhos mais populares em termos de número de avaliações?,
,Como a pontuação média dos vinhos varia por região e variedade?,
,Existe uma correlação entre o preço e a popularidade dos vinhos?,
,Quais vinhos têm a maior diversidade de notas de degustação?,
,Como a pontuação dos vinhos muda com o tipo de uva utilizada?,
,Existe uma diferença significativa entre os preços dos vinhos orgânicos e não orgânicos?,
,Quais são os padrões de consumo de vinhos em diferentes regiões?,
,Como a média de pontos varia entre vinhos de diferentes safras?,
,Quais vinhos têm as descrições mais longas e como isso se relaciona com a pontuação?,
,Existe uma diferença nas pontuações dos vinhos entre os diferentes taster_names?,
,Como a distribuição dos preços dos vinhos muda ao longo dos anos?,
,Quais são os 5 vinhos mais frequentemente mencionados nas descrições?,
,Existe uma relação entre a acidez e a pontuação dos vinhos?,
,Como a quantidade de vinhos varia entre os diferentes países?,
,Qual é a média de preços dos vinhos por variedade?,
,Existem tendências sazonais nos preços dos vinhos?,
,Como a pontuação dos vinhos varia com a idade do vinhedo?,
,Quais são os 5 vinhos mais avaliados e suas pontuações médias?,
,Existe uma correlação entre a presença de certas palavras na descrição e a pontuação dos vinhos?,
,Como a média de pontos dos vinhos muda com a experiência do degustador?,
,Quais são as principais características que definem os vinhos de alta qualidade no dataset?,
